age,current_savings,monthly_contribution,years_to_retirement,risk_tolerance,recommended_investment
25,750000,35000,35,4,3
45,3000000,65000,15,3,0
35,2000000,45000,25,5,4
55,10000000,120000,5,2,1
60,15000000,75000,2,1,1
40,4000000,80000,20,3,0
50,6000000,100000,10,4,3
28,1500000,40000,37,5,4
65,18000000,60000,1,1,2
38,5000000,75000,22,2,0
55,9000000,95000,5,2,2
30,2500000,35000,30,4,3
42,4500000,85000,18,3,0
48,5500000,90000,12,3,2
52,7000000,100000,8,4,3
60,12000000,75000,5,3,2
25,750000,35000,35,4,3
45,3000000,65000,15,3,0
35,2000000,45000,25,5,4
55,10000000,120000,5,2,1
60,15000000,75000,2,1,1
40,4000000,80000,20,3,0
50,6000000,100000,10,4,3
28,1500000,40000,37,5,4
65,18000000,60000,1,1,2
38,5000000,75000,22,2,0
55,9000000,95000,5,2,2
30,2500000,35000,30,4,3
42,4500000,85000,18,3,0
48,5500000,90000,12,3,2
52,7000000,100000,8,4,3
60,12000000,75000,5,3,2
29,1600000,42000,36,4,3
47,3200000,67000,13,3,0
36,2100000,46000,24,5,4
54,10500000,125000,6,2,1
61,15500000,76000,3,1,1
41,4100000,81000,19,3,0
51,6100000,101000,11,4,3
27,1400000,39000,38,5,4
66,18500000,61000,2,1,2
39,5100000,76000,21,2,0
56,9100000,96000,4,2,2
31,2600000,36000,29,4,3
43,4600000,86000,17,3,0
49,5600000,91000,11,3,2
53,7100000,101000,7,4,3
59,12500000,76000,4,3,2
26,760000,36000,34,4,3
46,3100000,66000,14,3,0
34,2200000,47000,26,5,4
57,10600000,126000,5,2,1
62,16000000,77000,2,1,1
37,4200000,82000,23,3,0
50,6200000,102000,10,4,3
29,1500000,40000,37,5,4
64,19000000,62000,1,1,2
40,5200000,77000,20,2,0
58,9200000,97000,3,2,2
32,2700000,37000,28,4,3
44,4700000,87000,16,3,0
47,5700000,92000,10,3,2
55,7200000,102000,6,4,3
60,13000000,77000,4,3,2
28,770000,37000,33,4,3
45,3200000,67000,13,3,0
33,2300000,48000,27,5,4
56,10700000,127000,5,2,1
63,16500000,78000,2,1,1
38,4300000,83000,22,3,0
49,6300000,103000,9,4,3
30,1600000,41000,36,5,4
67,19500000,63000,1,1,2
41,5300000,78000,19,2,0
59,9300000,98000,3,2,2
33,2800000,38000,27,4,3
45,4800000,88000,15,3,0
48,5800000,93000,9,3,2
54,7300000,103000,7,4,3
61,13500000,78000,3,3,2
27,780000,38000,32,4,3
46,3300000,68000,12,3,0
32,2400000,49000,26,5,4
57,10800000,128000,5,2,1
64,17000000,79000,2,1,1
39,4400000,84000,21,3,0
50,6400000,104000,8,4,3
31,1700000,42000,35,5,4
68,20000000,64000,1,1,2
42,5400000,79000,18,2,0
60,9400000,99000,3,2,2
34,2900000,39000,26,4,3
46,4900000,89000,14,3,0
49,5900000,94000,8,3,2
55,7400000,104000,6,4,3
62,14000000,79000,3,3,2
26,790000,39000,31,4,3
47,3400000,69000,11,3,0
33,2500000,50000,25,5,4
58,10900000,129000,5,2,1
65,17500000,80000,2,1,1
40,4500000,85000,20,3,0
51,6500000,105000,7,4,3
30,1800000,43000,34,5,4
69,20500000,65000,1,1,2
43,5500000,80000,17,2,0
61,9500000,100000,3,2,2
35,3000000,40000,25,4,3
47,5000000,90000,13,3,0
50,6000000,95000,7,3,2
56,7500000,105000,6,4,3
63,14500000,80000,3,3,2
27,800000,40000,30,4,3
48,3500000,70000,10,3,0
34,2600000,51000,24,5,4
59,11000000,130000,5,2,1
66,18000000,81000,2,1,1
41,4600000,86000,19,3,0
52,6600000,106000,6,4,3
31,1900000,44000,33,5,4
70,21000000,66000,1,1,2
44,5600000,81000,16,2,0
62,9600000,101000,3,2,2
36,3100000,41000,24,4,3
48,5100000,91000,12,3,0
51,6100000,96000,6,3,2
57,7600000,106000,6,4,3
64,15000000,81000,3,3,2
26,810000,41000,29,4,3
49,3600000,71000,9,3,0
35,2700000,52000,23,5,4
60,11100000,131000,5,2,1
67,18500000,82000,2,1,1
42,4700000,87000,18,3,0
53,6700000,107000,5,4,3
32,2000000,45000,32,5,4
71,21500000,67000,1,1,2
45,5700000,82000,15,2,0
63,9700000,102000,3,2,2
37,3200000,42000,23,4,3
49,5200000,92000,11,3,0
52,6200000,97000,5,3,2
